Unnamed: 0,Hauptbedeutung,on-yomi 1,Bedeutung on-yomi 1,on-yomi 2,Bedeutung on-yomi 2,kun-yomi 1,Bedeutung kun-yomi 1,kun-yomi 2,Bedeutung kun-yomi 2
潟,Lagune,,,,,kata,,,
潜,tauchen,SEN,,,,mogu.ru,,hiso.mu,sich verbergen
潮,Gezeiten,CHOU,,,,shio,,,
濁,Trübheit,DAKU,,,,nigo.su / .ru,trüben / trüb werden,,
濫,Übermaß,RAN,,,,,,,
灰,Asche,KAI,,,,hai,,,
炎,Flamme,EN,Entzündung,,,honoo,,,
炉,Ofen,RO,,,,,,,
焦,Feuer,SHOU,"Sehnsucht, Ungeduld",,,ko.gasu / .geru,versengen / anbrennen ,ko.gareru,sich sehnen
煩,Besorgnis,HAN,,,,wazura.u / .wasu,besorgt sein / belästigen,,
燥,Trockenheit,SOU,,,,,,,
爵,Adelsrang,SHAKU,,,,,,,
牲,Opfer,SEI,,,,,,,
犠,Opfer,GI,,,,,,,
狂,wahnsinnig werden,KYOU,,,,kuru.u,,,
猶,Verzögerung,YUU,,,,,,,
獣,Tier,JUU,,,,kemono,,,
班,Gruppe,HAN,,,,,,,
琴,Koto (jap. Saiteninstrument),KIN,,,,koto,,,
璽,kaiserliches Siegel,JI,,,,,,,
甚,außerordentlich,JIN,,,,hanaha.dashii,,,
畔,Feldrain,HAN,,,,,,,
畝,Furchenrücken,,,,,une,,,
疾,schnell,SHITSU,Krankheit,,,,,,
痘,Pocken,TOU,,,,,,,
痴,Schwachsinn,CHI,,,,,,,
癖,Eigenart,HEKI,,,,kuse,,,
癒,heilen,YU,,,,i.yasu,,,
盟,Bündnis,MEI,,,,,,,
睡,Schlaf,SUI,,,,,,,
矯,Verbesserung,KYOU,,,,,,,
砕,brechen,SAI,,,,kuda.ku / .keru,brechen [trans.] / brechen [intrans.],,
硬,Härte,KOU,,,,kata.i,hart,,
硝,Salpeter,SHOU,,,,,,,
硫,Schwefel,RYUU,,,,,,,
磁,Magnet,JI,Porzellan,,,,,,
碑,Grabstein,HI,,,,,,,
祥,gutes Omen,SHOU,,,,,,,
禍,Unheil,KA,,,,,,,
秒,Sekunde,BYOU,,,,,,,
租,Pacht,SO,Abgabe,,,,,,
秩,Ordnung,CHITSU,,,,,,,
穀,Getreide,KOKU,,,,,,,
稼,Arbeit,KA,,,,kase.gu,Geld verdienen,,
穏,friedlich,ON,,,,oda.yaka,"ruhig, friedlich",,
穫,Ernte,KAKU,,,,,,,
窃,Diebstahl,SETSU,,,,,,,
窒,Stickstoff,CHITSU,,,,,,,
窮,Not,KYUU,,,,,,,
窯,Ofen,YOU,Herd,,,kama,,,
筋,Muskel,KIN,Faser,,,suji,,,
箇,[ZEW für Abstraktes],KA,,,,,,,
篤,ernst,TOKU,,,,,,,
簿,Register,BO,,,,,,,
粋,Essenz,SUI,modisch,,,,,,
粗,grob[körnig],SO,,,,ara.i,,,
粘,klebrig,NEN,,,,neba.ru,"klebrig sein, nicht nachgeben",,
粒,Korn,RYUU,,,,tsubu,,,
糧,Nahrung,RYOU,,,,kate,,,
索,Suche,SAKU,Seil,,,,,,
純,Reinheit,JUN,,,,,,,
紛,leicht verwechselbar,FUN,,,,magi.rawashii,leicht verwechselbar,magi.reru,sich unter [Leute etc.] mischen
紡,spinnen,BOU,,,,tsumu.gu,,,
紋,Wappen,MON,,,,,,,
累,Anhäufung,RUI,,,,,,,
絹,Seide,KEN,,,,kinu,,,
綿,Baumwolle,MEN,,,,wata,,,
緯,Breitengrad,I,,,,,,,
縦,Länge [geom.],JUU,,,,tate,,,
縛,fesseln,BAKU,,,,shiba.ru,,,
縫,nähen,HOU,,,,nu.u,,,
繭,Seidenraupenkokon,KEN,,,,mayu,,,
繕,Reparatur,ZEN,,,,,,,
罷,Streik,HI,Entlassung,,,,,,
羅,Netz,RA,,,,,,,
羊,Schaf,YOU,,,,hitsuji,,,
翁,alter Mann,OU,,,,,,,
翼,Flügel,YOKU,,,,tsubasa,,,
耐,standhalten,TAI,,,,ta.eru,,,
耕,Acker,KOU,,,,tagaya.su,bestellen,,
耗,Abnutzung,MOU,,,,,,,
粛,würdevoll,SHUKU,streng,,,,,,
肖,Porträt,SHOU,,,,,,,
肢,Gliedmaßen,SHI,,,,,,,
肥,Dünger,HI,,,,ko.eru,fett werden,,
胎,Gebärmutter,TAI,,,,,,,
胆,Gallenblase,TAN,Mut,,,,,,
胞,Plazenta,HOU,,,,,,,
胴,Rumpf,DOU,,,,,,,
脚,Bein,KYAKU,,KYA,,ashi,,,
脳,Gehirn,NOU,,,,,,,
膜,Membran,MAKU,,,,,,,
臨,Anwesenheit,RIN,,,,nozo.mu,anwesend sein,,
舌,Zunge,ZETSU,,,,shita,,,
舶,Schiff,HAKU,,,,,,,
艇,Boot,TEI,,,,,,,
艦,Kriegsschiff,KAN,,,,,,,
芽,Knospe,GA,,,,me,,,
茎,Stängel,KEI,,,,kuki,,,
荘,Landhaus,SOU,feierlich,,,,,,
菊,Chrysantheme,KIKU,,,,,,,
菌,Bakterie,KIN,,,,,,,
葬,Beerdigung,SOU,,,,houmu.ru,beerdigen,,
薫,Duft,KUN,,,,,,,
藩,Daimyat(Lehensgebiet),HAN,,,,,,,
藻,Wasserpflanze,SOU,,,,mo,,,
虐,Misshandlung,GYAKU,,,,shiita.geru,misshandeln,,
虚,Leere,KYO,Lüge,,,,,,
虞,Befürchtung,,,,,osore,,,
虜,Gefangener,RYO,,,,,,,
蚕,Seidenraupe,SAN,,,,kaiko,,,
蛇,Schlange,JA,,JU,,hebi,,,
蛍,Glühwürmchen,KEI,,,,hotaru,,,
蛮,Barbar,BAN,,,,,,,
融,schmelzen,YUU,,,,,,,
衡,Waage,KOU,Gleichgewicht,,,,,,
衷,Inneres,CHUU,,,,,,,
裕,Reichtum,YUU,,,,,,,
裸,nackt,RA,,,,hadaka,,,
褐,braun,KATSU,,,,,,,
褒,Lob,HOU,,,,ho.meru,,,
襟,Kragen,KIN,,,,eri,,,
襲,"angreifen, anfallen",SHUU,,,,oso.u,,,
覇,Herrschaft,HA,,,,,,,
訂,Korrektur,TEI,,,,,,,
託,anvertrauen,TAKU,,,,,,,
訟,Prozess,SHOU,,,,,,,
詠,Gedicht,EI,,,,yo.mu,dichten,,
詐,Betrug,SA,,,,,,,
詔,kaiserlicher Erlass,SHOU,,,,mikotonori,,,
訴,Anklage,SO,,,,utta.eru,anklagen,,
該,Betreffender,GAI,,,,,,,
詰,füllen,KITSU,,,,tsu.meru / .maru,füllen / gefüllt sein,,
誇,Stolz,KO,,,,hoko.ru,stolz sein,,
誠,Aufrichtigkeit,SEI,Wahrheit,,,makoto,,,
誉,Ehre,YO,Lob,,,homa.re,,,
謁,Audienz,ETSU,,,,,,,
諸,viele,SHO,,,,,,,
諮,Beratung,SHI,,,,,,,
謀,Verschwörung,BOU,,,,haka.ru,Ränke schmieden,,
謡,Lied [im No-Theater],YOU,,,,utai,,uta.u,singen
